node_loss: 0.40583866834640503, edge_loss: 1.5056, edge_weight_loss: 2.7182, cosine_similarity: 0.0977
node_loss: 0.39243513345718384, edge_loss: 1.4704, edge_weight_loss: 1.6240, cosine_similarity: 0.1084
node_loss: 0.3793485462665558, edge_loss: 1.4537, edge_weight_loss: 0.9868, cosine_similarity: 0.1165
node_loss: 0.3711276650428772, edge_loss: 1.4548, edge_weight_loss: 0.9144, cosine_similarity: 0.1143
node_loss: 0.36083903908729553, edge_loss: 1.4480, edge_weight_loss: 1.2177, cosine_similarity: 0.1151
node_loss: 0.3499685227870941, edge_loss: 1.4331, edge_weight_loss: 1.2107, cosine_similarity: 0.1178
node_loss: 0.33786529302597046, edge_loss: 1.4156, edge_weight_loss: 1.0004, cosine_similarity: 0.1352
node_loss: 0.3264273405075073, edge_loss: 1.4088, edge_weight_loss: 0.8866, cosine_similarity: 0.1382
node_loss: 0.31630685925483704, edge_loss: 1.4011, edge_weight_loss: 0.8726, cosine_similarity: 0.1396
node_loss: 0.30606287717819214, edge_loss: 1.3970, edge_weight_loss: 0.9233, cosine_similarity: 0.1439
node_loss: 0.2983311414718628, edge_loss: 1.3922, edge_weight_loss: 0.9929, cosine_similarity: 0.1454
node_loss: 0.2856009602546692, edge_loss: 1.3903, edge_weight_loss: 1.0179, cosine_similarity: 0.1698
node_loss: 0.2767660617828369, edge_loss: 1.3906, edge_weight_loss: 0.9866, cosine_similarity: 0.1655
node_loss: 0.26811712980270386, edge_loss: 1.3907, edge_weight_loss: 0.9498, cosine_similarity: 0.1644
node_loss: 0.2597653269767761, edge_loss: 1.3904, edge_weight_loss: 0.9018, cosine_similarity: 0.1705
node_loss: 0.2505422532558441, edge_loss: 1.3898, edge_weight_loss: 0.8718, cosine_similarity: 0.1789
node_loss: 0.24180762469768524, edge_loss: 1.3895, edge_weight_loss: 0.8665, cosine_similarity: 0.1846
node_loss: 0.23554015159606934, edge_loss: 1.3895, edge_weight_loss: 0.8874, cosine_similarity: 0.1843
node_loss: 0.22550202906131744, edge_loss: 1.3888, edge_weight_loss: 0.9111, cosine_similarity: 0.2002
